keywords,weights
java,0.5060721543419352
methods,0.24732495317386946
applet,0.2417857726347601
classes,0.2198003779691081
object,0.19063637137020734
programming,0.16324252925172408
ints,0.1537124424385047
code,0.13825559362183554
strings,0.13356694902356744
basic,0.12195641570066126
button,0.11896034837367873
new,0.11483986602118569
arrays,0.10851490767551454
data,0.10661206509923592
public,0.09856655696481292
allocated,0.08192407238783174
constants,0.07910475663448695
files,0.07899156857440573
browser,0.07844280630528086
memory,0.07822839232336573
follows,0.07640022570470124
operators,0.07154070344335961
basicsjava,0.07090539142604756
garbage,0.06526152170869966
referred,0.06436793172743807
commenting,0.06149869789633382
void,0.061000216543672006
reserve,0.06092461483547421
expr,0.059153122214849606
application,0.05902323542958474
contained,0.057973516576163904
args,0.05765646408436476
types,0.05665233703482257
variables,0.05615865184970191
main,0.055791524180613554
compilation,0.05170047686606802
bit,0.0516590436979847
dynamically,0.051389433370704105
null,0.050883955341561364
width,0.050687581969100795
stacks,0.050625236118043655
simple,0.04985918807676161
useful,0.049073053589138764
stats,0.04858662746591526
example,0.04835201414568425
definitions,0.048230224077791484
line,0.04797372549656195
intentionally left,0.047829007492034906
note,0.047674491382929625
primitive,0.047567020676790764
created,0.046119285520704115
parameter,0.04601367767011187
literal,0.04578154120455138
exception,0.04558874701471569
final,0.04517923490262086
automatic,0.045158300192881806
define,0.04470617086790787
return,0.04436534442670706
boolean,0.043401663148608056
thread,0.043359708987940226
gui inthis,0.04205884440998883
including,0.041986046204713856
environment,0.04061369277598361
address,0.04047250214633149
comparison,0.040432264771748654
literaltrue,0.04043226477174811
stop,0.04032337934755931
instantiated,0.040140113662838914
platform,0.03993062091131211
predefined,0.039551718041815245
window,0.03947882642385245
integer,0.039186904774506356
specific,0.03906381100148036
statement,0.03885550884734267
byte,0.0386137251025759
shows,0.03853503929364904
trivialapplication,0.0383064323555039
hello,0.03729761858182167
element,0.037192573769617675
collection,0.03701458022890811
assignments,0.03636478200546509
calling,0.03621707321624897
typename,0.03569255728268245
instance,0.03533284075283983
values,0.0353318431818595
push,0.035054806831350954
effects,0.034599615337907376
html,0.034316921216280535
alt,0.03405982523747577
align,0.03405982523747572
clone,0.033829098027402305
runtime,0.03376085698759797
unlike,0.033390197203479986
draw,0.03325178664989077
arithmetic,0.03315089574924023
archives,0.033122616432667444
source,0.033111588613964384
interpreter,0.03291757815923233
tothe,0.03218827059062206
looks,0.031767173634670694
length,0.03168327814920557
superclass,0.031185334848728746
namelistqualified,0.0309404252159951
declaration,0.03080920328623925
equivalent,0.030710234049354544
